Subject,filepath,Date,Body,Source
T1129: Shared Modules,https://attack.mitre.org/techniques/T1129,,"Shared Modules. Adversaries may execute malicious payloads via loading shared modules. Shared modules are executable files that are loaded into processes to provide access to reusable code, such as specific custom functions or invoking OS API functions (i.e., [Native API](https://attack.mitre.org/techniques/T1106)).

Adversaries may use this functionality as a way to execute arbitrary payloads on a victim system. For example, adversaries can modularize functionality of their malware into shared objects that per",MITRE-ATT&CK
T1602: Data from Configuration Repository,https://attack.mitre.org/techniques/T1602,,Data from Configuration Repository. process reads file,MITRE-ATT&CK
T1561.002: Disk Structure Wipe,https://attack.mitre.org/techniques/T1561/002,,"Disk Structure Wipe. process executes other techniques like  accounts, process executes techniques like  accounts",MITRE-ATT&CK
T1498.001: Direct Network Flood,https://attack.mitre.org/techniques/T1498/001,,Direct Network Flood. Adversaries may attempt to cause a denial of service (DoS) by directly sending a high-volume of network traffic to a target. This DoS attack may also reduce the availability and functionality of the targeted system(s) and network. [Direct Network Flood](https://attack.mitre.org/techniques/T1498/001)s are when one or more systems are used to send a high-volume of network packets towards the targeted service's network. Almost any network protocol may be used for flooding. Stateless protocols such ,MITRE-ATT&CK
T1574.007: Path Interception by PATH Environment Variable,https://attack.mitre.org/techniques/T1574/007,,"Path Interception by PATH Environment Variable. process writes path $ the variable, process writes path variable, process writes the $ home variable, process writes , process writes the ` /etc / paths.d ` folder contents, process reads the way operating systems run programs, process writes the way operating systems run programs, process reads privileges, process executes privileges, process reads the flow, process writes the flow, process reads",MITRE-ATT&CK
T1213.002: Sharepoint,https://attack.mitre.org/techniques/T1213/002,,"Sharepoint. process executes the sharepoint repository, process executes a source to mine valuable information, process executes information repositories, process executes mine, process executes valuable information, process executes external sharing features",MITRE-ATT&CK
T1006: Direct Volume Access,https://attack.mitre.org/techniques/T1006,,"Direct Volume Access. process writes file, process writes system volumes",MITRE-ATT&CK
T1588.007: Artificial Intelligence,https://attack.mitre.org/techniques/T1588/007,,"Artificial Intelligence. process writes basic scripts, process reads capabilities that can be used during targeting, process sends capabilities that can be used during targeting, process reads them, process sends them, process reads addition to purchasing capabilities, process sends addition to purchasing capabilities, process reads capabilities, process sends capabilities, process reads software licenses, process sends software licenses",MITRE-ATT&CK
T1666: Modify Cloud Resource Hierarchy,https://attack.mitre.org/techniques/T1666,,"Modify Cloud Resource Hierarchy. process writes hierarchical structures, process writes environments, process writes order to evade defenses, process writes resource groups, process writes an iaas hierarchy, process writes example, process writes azure environments ,, process writes new subscriptions in which to deploy resources, process writes which, process executes which, process writes resources, process executes resources, process writes a new account, process writes an aws organization",MITRE-ATT&CK
T1564.008: Email Hiding Rules,https://attack.mitre.org/techniques/T1564/008,,"Email Hiding Rules. process reads , process writes , process executes , process writes email, process deletes email, process deletes , process writes rules, process executes impair / delay detection, process executes these features, process writes computing regions",MITRE-ATT&CK
T1491.002: External Defacement,https://attack.mitre.org/techniques/T1491/002,,"External Defacement. process writes messaging , intimidate, process sends messaging , intimidate, process writes visual content, process writes false credit, process sends false credit",MITRE-ATT&CK
T1027.013: Encrypted/Encoded File,https://attack.mitre.org/techniques/T1027/013,,"Encrypted/Encoded File. process reads , process writes , process reads strings , bytes , and other specific patterns, process writes strings , bytes , and other specific patterns, process reads shared library, process writes shared library, process executes example, process executes file, process executes a method of encrypting, process executes encoding specific schemes, process reads file, process writes file, process reads its contents, process writes its contents, process reads the system, process writes the system, process reads order to avoid detection, process writes order to avoid detection, process executes command obfuscation",MITRE-ATT&CK
T1590.005: IP Addresses,https://attack.mitre.org/techniques/T1590/005,,IP Addresses. process writes operational resources,MITRE-ATT&CK
T1499.001: OS Exhaustion Flood,https://attack.mitre.org/techniques/T1499/001,,"OS Exhaustion Flood. process executes the stateful nature of the tcp protocol, process writes , process reads the system, process executes the system",MITRE-ATT&CK
T1014: Rootkit,https://attack.mitre.org/techniques/T1014,,"Rootkit. process reads hooking and modifying, process writes , process writes boot sectors",MITRE-ATT&CK
T1546.013: PowerShell Profile,https://attack.mitre.org/techniques/T1546/013,,"PowerShell Profile. process reads privileges, process executes privileges, process writes file, process writes , process writes persistence, process executes these mechanisms, process executes a means, process writes event triggers, process executes these triggered execution mechanisms, process reads their privileges, process executes their privileges",MITRE-ATT&CK
T1059.007: JavaScript,https://attack.mitre.org/techniques/T1059/007,,"JavaScript. process executes various implementations of javascript for execution, process executes the osakit framework, process executes various implementations of javascript, process reads their content, process writes their content, process reads file, process writes file, process executes command and script interpreters, process executes log file, process executes various ways, process executes a means of executing  commands, process writes victims, process sends victims, process sends file",MITRE-ATT&CK
T1590.002: DNS,https://attack.mitre.org/techniques/T1590/002,,"DNS. process reads details, process reads dns / passive dns, process writes operational resources, process reads all records, process reads a misconfigured dns server",MITRE-ATT&CK
T1485.001: Lifecycle-Triggered Deletion,https://attack.mitre.org/techniques/T1485/001,,"Lifecycle-Triggered Deletion. process writes the lifecycle policies of a cloud storage bucket, process writes these policies, process deletes all objects, process deletes the bucket, process deletes one day, process executes techniques like  accounts, process executes cloud environments, process executes access, process deletes virtual machines, process deletes on - prem virtualized environments",MITRE-ATT&CK
T1123: Audio Capture,https://attack.mitre.org/techniques/T1123,,"Audio Capture. process executes peripheral computer devices, process reads audio recordings, process reads the purpose, process reads audio, process reads , process sends ",MITRE-ATT&CK
T1543: Create or Modify System Process,https://attack.mitre.org/techniques/T1543,,"Create or Modify System Process. process writes , process writes process memory, process writes persistence, process writes service configuration, process writes administrator privileges, process executes process memory, process executes order to escalate privileges, process reads privileges, process executes privileges",MITRE-ATT&CK
T1133: External Remote Services,https://attack.mitre.org/techniques/T1133,,"External Remote Services. process executes service configuration, process writes network data, process reads network data, process executes network data, process reads , process writes , process executes , process writes a system, process writes it, process renames it, process writes an ms defender application, process renames an ms defender application",MITRE-ATT&CK
T1546.006: LC_LOAD_DYLIB Addition,https://attack.mitre.org/techniques/T1546/006,,"LC_LOAD_DYLIB Addition. process writes persistence, process writes executable, process writes , process reads privileges, process executes privileges, process executes these mechanisms, process executes a means, process writes event triggers, process executes these triggered execution mechanisms, process reads their privileges, process executes their privileges",MITRE-ATT&CK
T1539: Steal Web Session Cookie,https://attack.mitre.org/techniques/T1539,,"Steal Web Session Cookie. process reads service configuration, process sends service configuration, process reads cookies, process sends cookies, process writes javascript content, process reads javascript content, process writes websites, process reads websites",MITRE-ATT&CK
T1053.007: Container Orchestration Job,https://attack.mitre.org/techniques/T1053/007,,"Container Orchestration Job. process executes scheduling task functionality, process executes, process executes task scheduling",MITRE-ATT&CK
T1568.002: Domain Generation Algorithms,https://attack.mitre.org/techniques/T1568/002,,Domain Generation Algorithms. process writes network connection,MITRE-ATT&CK
T1036.007: Double File Extension,https://attack.mitre.org/techniques/T1036/007,,"Double File Extension. process executes file, process writes file, process renames file, process executes double extensions, process writes, process renames, process executes the sake of evading defenses and observation",MITRE-ATT&CK
T1548.002: Bypass User Account Control,https://attack.mitre.org/techniques/T1548/002,,"Bypass User Account Control. process reads process memory, process executes process memory, process reads system, process executes system, process reads its privileges, process executes its privileges, process reads privileges, process executes privileges, process reads , process executes , process writes process memory, process reads a system, process executes a system",MITRE-ATT&CK
T1496.003: SMS Pumping,https://attack.mitre.org/techniques/T1496/003,,"SMS Pumping. process executes , process executes a victim ’s messaging infrastructure, process executes service configuration, process executes the resources, process executes some cases, process executes multiple types of resource hijacking",MITRE-ATT&CK
T1016.001: Internet Connection Discovery,https://attack.mitre.org/techniques/T1016/001,,"Internet Connection Discovery. process reads , process writes , process executes , process executes network data, process executes esxi",MITRE-ATT&CK
T1548.003: Sudo and Sudo Caching,https://attack.mitre.org/techniques/T1548/003,,"Sudo and Sudo Caching. process reads privileges, process executes privileges, process writes file, process reads other users or permissions, process executes other users or permissions, process executes configuration file, process writes the wild, process writes tty_tickets, process reads a system, process executes a system",MITRE-ATT&CK
T1560.003: Archive via Custom Method,https://attack.mitre.org/techniques/T1560/003,,"Archive via Custom Method. process reads file, process writes file, process reads , process reads detection, process sends detection",MITRE-ATT&CK
T1578: Modify Cloud Compute Infrastructure,https://attack.mitre.org/techniques/T1578,,"Modify Cloud Compute Infrastructure. process writes service configuration, process writes infrastructure components",MITRE-ATT&CK
T1584.008: Network Devices,https://attack.mitre.org/techniques/T1584/008,,"Network Devices. process reads network data, process writes network data, process executes network data, process reads , process writes , process executes , process executes these devices, process reads credential file, process reads party infrastructure, process writes party infrastructure, process executes party infrastructure, process reads buying, leasing, or renting infrastructure, process writes buying, process executes buying, process reads infrastructure, process writes infrastructure, process executes infrastructure, process reads numerous machines, process writes numerous machines, process executes numerous machines, process executes example, process executes infrastructure (, process executes certificate file, process writes information gathering, process reads infrastructure residing in close proximity to a target, process writes infrastructure residing in close proximity to a target, process executes infrastructure residing in close proximity to a target, process reads order, process writes order, process executes order, process reads the infrastructure of other adversaries, process writes the infrastructure of other adversaries, process executes the infrastructure of other adversaries",MITRE-ATT&CK
T1583.008: Malvertising,https://attack.mitre.org/techniques/T1583/008,,"Malvertising. process executes , process reads well - known brands, process executes well - known brands, process writes domains and purchase advertisements, process writes",MITRE-ATT&CK
T1069: Permission Groups Discovery,https://attack.mitre.org/techniques/T1069,,"Permission Groups Discovery. process reads group and permission settings, process reads permissions, process executes permissions, process reads group permission settings, process reads many different ways, process reads , process writes , process executes ",MITRE-ATT&CK
T1114: Email Collection,https://attack.mitre.org/techniques/T1114,,"Email Collection. process reads information, process reads ",MITRE-ATT&CK
T1003.002: Security Account Manager,https://attack.mitre.org/techniques/T1003/002,,"Security Account Manager. process reads file, process reads credential file, process writes credential file, process reads the form, process writes the form",MITRE-ATT&CK
T1596.002: WHOIS,https://attack.mitre.org/techniques/T1596/002,,WHOIS. process writes operational resources,MITRE-ATT&CK
T1542.001: System Firmware,https://attack.mitre.org/techniques/T1542/001,,"System Firmware. process writes system firmware, process writes systems, process writes , process executes pre - os boot mechanisms, process executes a way to establish persistence on a system, process writes persistence, process writes a system, process writes a layer below the operating system",MITRE-ATT&CK
T1594: Search Victim-Owned Websites,https://attack.mitre.org/techniques/T1594,,"Search Victim-Owned Websites. process writes operational resources, process executes file",MITRE-ATT&CK
T1069.003: Cloud Groups,https://attack.mitre.org/techniques/T1069/003,,"Cloud Groups. process reads the policies attached to a role, process reads , process writes , process executes , process reads group and permission settings, process reads permissions, process executes permissions, process reads group permission settings, process reads many different ways",MITRE-ATT&CK
T1574.011: Services Registry Permissions Weakness,https://attack.mitre.org/techniques/T1574/011,,"Services Registry Permissions Weakness. process reads configuration file, process writes configuration file, process writes service configuration, process writes tools, process writes persistence and/or privilege escalation, process writes account the context, process writes authentication key file, process reads the way operating systems run programs, process writes the way operating systems run programs, process reads privileges, process executes privileges, process reads the flow, process writes the flow, process reads",MITRE-ATT&CK
T1596.001: DNS/Passive DNS,https://attack.mitre.org/techniques/T1596/001,,DNS/Passive DNS. process writes operational resources,MITRE-ATT&CK
T1499.003: Application Exhaustion Flood,https://attack.mitre.org/techniques/T1499/003,,"Application Exhaustion Flood. process reads the system, process executes the system, process writes ",MITRE-ATT&CK
T1195.001: Compromise Software Dependencies and Development Tools,https://attack.mitre.org/techniques/T1195/001,,"Compromise Software Dependencies and Development Tools. process reads credential file, process reads file, process reads, process writes, process executes, process executes the access, process reads a software component, process writes a software component, process executes a software component",MITRE-ATT&CK
T1588.004: Digital Certificates,https://attack.mitre.org/techniques/T1588/004,,"Digital Certificates. process reads certificate file, process sends certificate file, process reads network data, process writes network data, process reads a entity, process sends a entity, process reads , process writes , process executes , process reads certificate materials, process sends certificate materials, process reads third  a party, process sends third  a party, process reads domains, process writes domains, process reads capabilities that can be used during targeting, process sends capabilities that can be used during targeting, process reads them, process sends them, process reads addition to purchasing capabilities, process sends addition to purchasing capabilities, process reads capabilities, process sends capabilities, process reads software licenses, process sends software licenses",MITRE-ATT&CK
T1583.002: DNS Server,https://attack.mitre.org/techniques/T1583/002,,"DNS Server. process reads existing dns servers, process writes existing dns servers, process writes",MITRE-ATT&CK
T1561: Disk Wipe,https://attack.mitre.org/techniques/T1561,,Disk Wipe. process executes techniques like  accounts,MITRE-ATT&CK
T1071.004: DNS,https://attack.mitre.org/techniques/T1071/004,,"DNS. process executes dns, process writes ",MITRE-ATT&CK
T1552.005: Cloud Instance Metadata API,https://attack.mitre.org/techniques/T1552/005,,"Cloud Instance Metadata API. process reads credential file, process reads vulnerability, process executes vulnerability, process reads, process writes, process executes",MITRE-ATT&CK
T1555.002: Securityd Memory,https://attack.mitre.org/techniques/T1555/002,,"Securityd Memory. process sends securityd, process receives securityd, process reads it, process writes it, process reads pbkdf2, process writes pbkdf2, process reads credential file, process writes credential file",MITRE-ATT&CK
T1615: Group Policy Discovery,https://attack.mitre.org/techniques/T1615,,Group Policy Discovery. process reads patterns,MITRE-ATT&CK
T1542.003: Bootkit,https://attack.mitre.org/techniques/T1542/003,,"Bootkit. process writes systems, process writes the boot sectors of a hard drive, process writes bios systems, process writes the master boot record ( mbr ), process writes uefi, process writes file, process writes the efi system partition ( esp ), process writes , process executes pre - os boot mechanisms, process executes a way to establish persistence on a system, process writes persistence, process writes a system, process writes a layer below the operating system",MITRE-ATT&CK
T1025: Data from Removable Media,https://attack.mitre.org/techniques/T1025,,"Data from Removable Media. process reads , process writes , process executes , process reads removable any media",MITRE-ATT&CK
T1218.013: Mavinject,https://attack.mitre.org/techniques/T1218/013,,"Mavinject. process executes mavinject.exe, process executes shared library, process writes shared library, process reads shared library, process writes process memory, process reads process memory, process writes part, process reads part, process executes addition to dynamic - link library injection, process writes table an entry, process reads table an entry, process executes linux systems adversaries, process executes trusted binaries",MITRE-ATT&CK
T1074.001: Local Data Staging,https://attack.mitre.org/techniques/T1074/001,,"Local Data Staging. process writes file, process writes central a location, process reads , process writes a central location or directory, process writes cloud environments, process writes a particular instance or virtual machine, process writes exfiltration, process writes cloud instance, process writes that instance, process writes a centralized location prior to exfiltration",MITRE-ATT&CK
T1036.005: Match Legitimate Resource Name or Location,https://attack.mitre.org/techniques/T1036/005,,"Match Legitimate Resource Name or Location. process writes containerized environments, process writes a resource, process writes, process renames, process executes the sake of evading defenses and observation",MITRE-ATT&CK
T1587.003: Digital Certificates,https://attack.mitre.org/techniques/T1587/003,,"Digital Certificates. process writes certificate file, process reads network data, process writes network data, process writes a digital certificate, process reads capabilities, process sends capabilities",MITRE-ATT&CK
T1565.001: Stored Data Manipulation,https://attack.mitre.org/techniques/T1565/001,,"Stored Data Manipulation. Adversaries may insert, delete, or manipulate data at rest in order to influence external outcomes or hide activity, thus threatening the integrity of the data.(Citation: FireEye APT38 Oct 2018)(Citation: DOJ Lazarus Sony 2018) By manipulating stored data, adversaries may attempt to affect a business process, organizational understanding, and decision making.

Stored data could include a variety of file formats, such as Office files, databases, stored emails, and custom file formats. The type of",MITRE-ATT&CK
T1110.002: Password Cracking,https://attack.mitre.org/techniques/T1110/002,,"Password Cracking. process executes file, process executes configuration file, process executes credential file, process executes knowledge, process reads, process writes, process executes",MITRE-ATT&CK
T1114.001: Local Email Collection,https://attack.mitre.org/techniques/T1114/001,,"Local Email Collection. process reads information, process reads",MITRE-ATT&CK
T1555.001: Keychain,https://attack.mitre.org/techniques/T1555/001,,"Keychain. process reads example, process writes example, process reads credential file, process writes credential file, process reads authentication key file, process writes authentication key file",MITRE-ATT&CK
T1547: Boot or Logon Autostart Execution,https://attack.mitre.org/techniques/T1547,,"Boot or Logon Autostart Execution. process reads , process writes , process executes , process executes these, process reads privileges, process executes privileges",MITRE-ATT&CK
T1003.004: LSA Secrets,https://attack.mitre.org/techniques/T1003/004,,"LSA Secrets. process reads memory, process writes memory, process reads credential file, process writes credential file, process reads the form, process writes the form",MITRE-ATT&CK
T1600: Weaken Encryption,https://attack.mitre.org/techniques/T1600,,"Weaken Encryption. process reads network data, process writes network data, process executes network data, process reads order, process writes order, process executes order, process reads , process writes , process executes ",MITRE-ATT&CK
T1606.002: SAML Tokens,https://attack.mitre.org/techniques/T1606/002,,"SAML Tokens. process reads authentication token, process writes authentication token, process executes authentication token, process writes forged saml, process writes a new federation trust, process writes service configuration, process reads , process sends , process reads users",MITRE-ATT&CK
T1036.008: Masquerade File Type,https://attack.mitre.org/techniques/T1036/008,,"Masquerade File Type. process writes executable, process renames executable, process writes file, process renames file, process writes, process renames, process executes the sake of evading defenses and observation",MITRE-ATT&CK
T1489: Service Stop,https://attack.mitre.org/techniques/T1489,,"Service Stop. process writes service configuration, process writes an organization, process writes , process executes service configuration, process writes new accounts in the aws organization",MITRE-ATT&CK
T1587.001: Malware,https://attack.mitre.org/techniques/T1587/001,,"Malware. process writes a means, process reads capabilities, process sends capabilities",MITRE-ATT&CK
T1652: Device Driver Discovery,https://attack.mitre.org/techniques/T1652,,"Device Driver Discovery. process reads local device drivers, process reads a victim host",MITRE-ATT&CK
T1087.002: Domain Account,https://attack.mitre.org/techniques/T1087/002,,"Domain Account. process reads members of active directory groups, process reads, process writes, process executes, process reads accounts",MITRE-ATT&CK
T1547.014: Active Setup,https://attack.mitre.org/techniques/T1547/014,,"Active Setup. process executes active setup, process writes authentication key file, process executes these components, process writes , process renames , process reads, process executes, process executes these, process reads privileges, process executes privileges",MITRE-ATT&CK
T1564: Hide Artifacts,https://attack.mitre.org/techniques/T1564,,"Hide Artifacts. process executes these features, process writes computing regions",MITRE-ATT&CK
T1559.002: Dynamic Data Exchange,https://attack.mitre.org/techniques/T1559/002,,"Dynamic Data Exchange. process writes , process writes execution, process sends execution, process writes email, process sends email, process executes , process reads , process executes mechanisms, process executes ipc, process executes underlying ipc mechanisms",MITRE-ATT&CK
T1204.002: Malicious File,https://attack.mitre.org/techniques/T1204/002,,"Malicious File. process writes , process renames , process reads web session cookies, process sends web session cookies, process sends",MITRE-ATT&CK
T1591.003: Identify Business Tempo,https://attack.mitre.org/techniques/T1591/003,,Identify Business Tempo. process writes operational resources,MITRE-ATT&CK
T1071.005: Publish/Subscribe Protocols,https://attack.mitre.org/techniques/T1071/005,,Publish/Subscribe Protocols. process executes publish / subscribe protocols,MITRE-ATT&CK
T1592.001: Hardware,https://attack.mitre.org/techniques/T1592/001,,"Hardware. process reads sites, process writes sites, process executes sites, process reads host information, process reads visitors, process writes operational resources",MITRE-ATT&CK
T1080: Taint Shared Content,https://attack.mitre.org/techniques/T1080,,"Taint Shared Content. process writes executable, process sends executable, process writes remote systems, process sends remote systems, process reads shared library, process executes shared library, process writes , process renames , process reads network data, process writes network data, process executes network data, process reads executable, process executes executable, process writes entry original the point",MITRE-ATT&CK
T1484.002: Trust Modification,https://attack.mitre.org/techniques/T1484/002,,"Trust Modification. process writes the properties of existing domain trusts, process reads privileges, process executes privileges, process writes settings, process reads the signing certificate, process writes the signing certificate, process executes the signing certificate, process executes the identity tenant, process writes a new identity provider for an aws organization, process writes identities, process writes each of the member accounts, process writes configuration file, process reads centrally managed environments, process executes centrally managed environments, process writes sufficient permissions, process writes domain or tenant policy settings, process writes gpos, process writes domain trusts, process writes domain or tenant policy",MITRE-ATT&CK
T1213.006: Databases,https://attack.mitre.org/techniques/T1213/006,,"Databases. process executes file, process reads , process reads file, process sends file, process executes information repositories, process executes mine, process executes valuable information, process executes external sharing features",MITRE-ATT&CK
T1573.001: Symmetric Cryptography,https://attack.mitre.org/techniques/T1573/001,,"Symmetric Cryptography. Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption. Common symmetric encryption algorithms include AES, DES, 3DES, Blowfish, and RC4.",MITRE-ATT&CK
T1087.001: Local Account,https://attack.mitre.org/techniques/T1087/001,,"Local Account. process reads linux, process reads file, process reads local accounts, process reads, process writes, process executes, process reads accounts",MITRE-ATT&CK
T1586.001: Social Media Accounts,https://attack.mitre.org/techniques/T1586/001,,"Social Media Accounts. process reads media accounts, process writes media accounts, process executes media accounts, process writes , process reads existing social media accounts, process writes existing social media accounts, process executes existing social media accounts, process reads , process executes , process reads social media accounts, process writes social media accounts, process executes social media accounts, process writes file, process writes new ,, process executes other phases, process reads accounts, process writes accounts, process executes accounts, process reads existing accounts, process writes existing accounts, process executes existing accounts, process executes email",MITRE-ATT&CK
T1176.001: Browser Extensions,https://attack.mitre.org/techniques/T1176/001,,"Browser Extensions. process executes internet browser extensions, process writes persistent access to victim systems, process writes extensions, process renames extensions, process reads a system, process writes a system, process executes a system, process executes , process writes , process writes browser sessions, process reads all information, process sends all information, process writes browser permissions, process executes software extensions, process reads, process reads process memory, process executes process memory, process writes process memory, process executes benign extensions, process reads trusted software ecosystems, process executes trusted software ecosystems",MITRE-ATT&CK
T1562.009: Safe Mode Boot,https://attack.mitre.org/techniques/T1562/009,,"Safe Mode Boot. process executes safe mode, process executes disable endpoint defenses, process executes endpoint disable defenses, process writes configuration file, process writes components of a victim environment, process writes order to hinder or disable defensive mechanisms, process writes, process writes process memory",MITRE-ATT&CK
T1542.005: TFTP Boot,https://attack.mitre.org/techniques/T1542/005,,"TFTP Boot. process executes netbooting, process writes , process writes configuration file, process executes pre - os boot mechanisms, process executes a way to establish persistence on a system, process writes persistence, process writes a system, process writes systems, process writes a layer below the operating system",MITRE-ATT&CK
